compound_stem,SMILES,u1,u2,u3
A01292534,COc1ccc(cc1)C1N(Cc2ccco2)C(=O)CN(C2CCCCC2)C1=O,-0.063735135,3.1094167,5.942679
A01293614,C(C1CN(Cc2ccccn2)Cc2nccn2C1)N1CCCC1,1.7884128,3.8893182,8.671002
A01314379,O=C(CC1N(Cc2ccc(cc2)-c2ccccc2)CCNC1=O)NC1CCC1,0.25427806,3.6788554,6.121206
A01315431,O=C1NC(Nc2ccccc12)c1ccncc1,0.65161484,3.9294398,8.2353
A01321643,CC(C)N1CCN(CC#N)C2(CCN(C2)C(=O)c2cc(C)n[nH]2)C1=O,-0.6185025,-3.3809001,0.0184353
A01334285,CN(C(=O)c1cccs1)C1(C)CCS(=O)(=O)C1,-0.44399837,3.4481447,6.1894217
A01334461,Cc1onc(c1C(O)c1ccc(F)cc1)-c1ccccc1,-0.02842431,-0.6907037,2.1681602
A01335741,NC(=O)C(c1ccc(Cl)cc1)c1ccc(Sc2ccccc2)nn1,0.28256863,0.4108893,5.9559836
A01338524,O=C(C1CCCN(C1)C(=O)c1ccc(cc1)N1CCOCC1)c1cccc2ccccc12,-1.2785662,0.9858209,3.3843756
A01364255,Cc1nc(CN2CCC3(CC(OCCO)c4ccccc34)CC2)cs1,-0.92456603,-1.1564502,0.96783984
A01365940,CC(C)N1CCC(CC1)N1CCN(Cc2ccc3nsnc3c2)CC1CCO,-0.020808823,-2.205276,1.0489357
A01377705,CC1CCCCC1NC(=O)CCCCn1c(=O)[nH]c2ccsc2c1=O,0.13878189,3.213076,5.361963
A01397745,CN1CC(C(C1)c1ccc(Cl)cc1)C(=O)c1cccs1,-0.54439723,1.1329479,2.2171724
A01421526,COc1ccc(cc1)C1CC1\C(C)=N\OC(=O)c1cccs1,1.8688029,3.5851607,8.731576
A01439638,CN(C)C(=O)N1CCc2ncnc(C3CCOC3)c2CC1,-0.4988935,-1.5318313,0.72508603
A01464798,COCc1cnc2C(C)N(CCn12)C(=O)c1cnc(C)cn1,-0.8714789,-2.605647,0.392388
A01470993,CC1(Oc2cccnc2NC1=O)C(=O)NCCCN1CCOCC1,1.6097945,4.009712,8.989653
A01500433,Cc1ccccc1N1CC2(CCN(C2)C(=O)C2CC2)CC1=O,0.89281774,3.7411213,6.7366977
A01514116,CCCS(=O)(=O)NCC1COCc2c(C)nnn2C1,2.971207,3.248451,8.14574
A01546804,Cc1cccc(n1)N1CCC2(C1)CCCN(C2)C(=O)c1cnccn1,-0.5218983,1.1500635,3.0041037
A01563671,CCCC(=O)OCOC(=O)C1=C(C)NC(C)=C(C1c1cccc(Cl)c1Cl)C(=O)OC,2.7076743,8.339266,-2.1088
A01580621,CC1CN(CCOCCSc2ccccc2)CC(C)O1,1.2969542,2.605785,6.268392
A01606051,Cn1cc(cn1)C1COC2(C1)CCCN(C2)C(=O)c1ccccc1F,-1.4135801,-0.79080546,2.7344322
A01634199,CC1CC(C)CN(C1)C(=O)COc1ccc(cc1)-c1nnco1,-1.0590767,-1.8578304,1.4060916
A01636364,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C,1.428859,2.7014844,8.171462
A01643497,COC1CC2(CCN(CC(O)=O)CC2)c2cc(F)ccc12,-0.42572495,1.0484327,2.9526947
A01659363,C\N=C1/SC(CC(=O)Nc2ccccc2F)C(=O)N1C,-1.4383852,0.4848684,3.3866906
A01662948,COCCC(=O)C1Cc2nc(sc2N1C(C)C)-c1cccc(OC)c1,2.6122317,3.9328806,9.876414
A01682817,COc1ccc(OCc2cc(no2)C(=O)N2CCCC(O)C2)c2ccccc12,-1.2978088,-1.0092103,2.1403694
A01684828,COCCCN(C(C)c1ccncc1)C(=O)Nc1ccccc1,-0.47554752,-1.9994202,1.6580303
A01702378,CC1Cc2cc(ccc2N1C(C)=O)S(=O)(=O)N1CCCC(C1)C(=O)N1CCCCC1,1.1488718,3.781374,8.662615
A01703916,CC(C)(C)NC(=O)CCC1COc2ccccc2O1,-1.1854572,-0.61935663,1.1598021
A01713793,CC(OC(=O)Cc1coc2cc(C)ccc12)C(=O)NCc1ccc2OCOc2c1,-0.48078305,0.9768557,5.209722
A01715163,OC(=O)c1cccnc1SC1CC(=O)NC1=O,-0.3555335,0.82754457,2.8223414
A01717111,Cc1nc2sc(C(N3CCOCC3)c3ccco3)c(O)n2n1,-0.29520708,0.22637227,2.2788723
A01720839,Cc1ccc(NC(=O)N2CCN(CC2)C(=O)C2CCCO2)cc1,-0.11544644,2.2907548,5.0827193
A01725140,CN1C(=O)CCC11CCCN(CC1)C(=O)NCc1ccccc1,-0.70863485,-2.4736006,0.23754805
A01745485,CS(=O)(=O)N1CCCC2(CC(CO2)Nc2nccs2)C1,0.1963137,0.9855901,3.4671454
A01770270,CC1(NC(=O)N(CC(=O)Nc2ccc(cc2)N2CCOCC2)C1=O)c1ccccc1,-0.11328445,3.068617,5.4297795
A01795395,O=c1n(-c2ccccc2)c(SCC2CCCCO2)nc2ccccc12,3.237792,7.883617,-0.03185194
A01802191,CN1CCC2(CN(C2)C(=O)CCc2ccccc2)OCC1C(O)=O,-0.35220215,0.25752994,2.5651124
A01820233,CCN1CCC2(CN(CC22CCN(CC2)C(=O)Cc2ccsc2)C(=O)N(C)C)C1=O,3.0089133,3.0313938,7.837109
A01827652,COc1ccc(OC)c(c1)S(=O)(=O)N1CCCC1C(=O)N1CCc2ccccc2C1,-0.44407663,3.2690003,6.36077
A01839977,CN(C1[C@H]2C[C@@H]3C[C@@H](C[C@H]1C3)C2)C(=O)c1cncc(Br)c1,0.48515207,2.9866521,7.0762343
A01845282,COc1ccc(NC(=O)c2ccc(OCC3CCCO3)cc2)cc1OC,-0.3323235,-2.7376482,0.7435806
A01847135,CC(C)N1CCC(CC1)N1CCN(CC1CCO)C1CCCCC1,-1.1646814,-2.0731034,0.7873743
A01850593,C(OC1CC2CN(Cc3cccs3)CCN2C1)c1ccccn1,2.71731,3.78815,9.251632
A01851918,CC(OCCN(C)C)C(=O)C12CC3CC(CC(C3)C1)C2,-0.8076656,2.152255,4.3759513
A01853173,Cc1cc(C(=O)CN2C(=O)NC3(CCCc4ccccc34)C2=O)c(C)n1Cc1ccccc1,-0.28458735,-0.010930063,3.1031098
A01860037,COCC(=O)N1CCCC2(CCC(=O)N2Cc2cccnc2)C1,2.8964639,3.2515566,8.14061
