,compound_stem,u1,u2,u3
11495,K77980824_10,3.0722911,10.346384,5.898916
11496,K71389842_1,0.5506239,5.883732,4.4398246
11497,K71389842_30,2.7733498,9.63169,4.470638
11498,K71389842_3,0.14101326,4.583374,5.469053
11499,K71389842_10,2.64338,9.459598,4.361606
11500,K54996238_1,0.6868418,4.734193,5.5669866
11501,K54996238_30,0.7177167,5.4257183,4.5555696
11502,K54996238_3,0.08627493,1.9257979,8.193451
11503,K54996238_10,0.65738297,4.781451,5.4344497
11504,A19617573_1,0.34860918,4.063534,5.6078176
11505,A19617573_30,3.0507278,10.334444,5.8494053
11506,A19617573_3,1.8614111,7.6083813,4.016533
11507,A19617573_10,0.2538859,4.3707213,6.030078
11508,K33315632_1,0.6094351,3.842706,5.8136764
11509,K33315632_30,4.928206,10.385634,6.757906
11510,K33315632_3,0.3161783,2.9031723,6.6719275
11511,K33315632_10,1.5799316,7.199155,3.9834068
11512,K67189631_1,0.38756007,4.7091336,5.9431815
11513,K67189631_30,3.4044213,10.638104,6.538121
11514,K67189631_3,0.16777101,4.119405,6.636584
11515,K67189631_10,1.2868979,6.12454,7.4939733
11516,K22677562_1,0.6844158,5.9765186,4.2526217
11517,K22677562_30,5.1239944,10.964036,5.5149813
11518,K22677562_3,1.2737286,6.8387556,4.1942863
11519,K22677562_10,3.1650605,9.351199,5.772817
11520,K56019242_1,1.918626,8.21085,3.712786
11521,K56019242_30,2.8945916,10.1562395,5.707352
11522,K56019242_3,1.4359173,7.3876834,3.9622436
